05-09-2023 11:17:42 error: login,v1/admin/login,Successfully Logged-In,200,Tue Sep 05 2023 11:17:42 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:17:42 GMT+0530 (India Standard Time)
05-09-2023 11:28:48 error: updateBlogPost,v1/blog/updateBlogPost,postId is required,400,Tue Sep 05 2023 11:28:48 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:28:48 GMT+0530 (India Standard Time)
05-09-2023 11:28:48 error: postBlog,v1/blog/addBlogPost,id is not allowed,400,Tue Sep 05 2023 11:28:48 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:28:48 GMT+0530 (India Standard Time)
05-09-2023 11:29:01 error: updateBlogPost,v1/blog/updateBlogPost,postId is required,400,Tue Sep 05 2023 11:29:01 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:29:01 GMT+0530 (India Standard Time)
05-09-2023 11:29:01 error: postBlog,v1/blog/addBlogPost,id is not allowed,400,Tue Sep 05 2023 11:29:01 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:29:01 GMT+0530 (India Standard Time)
05-09-2023 11:35:38 error: updateBlogPost,v1/blog/updateBlogPost,isPublished must be one of true false,400,Tue Sep 05 2023 11:35:38 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:35:38 GMT+0530 (India Standard Time)
05-09-2023 11:35:38 error: postBlog,v1/blog/addBlogPost,isPublished must be one of true false,400,Tue Sep 05 2023 11:35:38 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:35:38 GMT+0530 (India Standard Time)
05-09-2023 11:35:50 error: updateBlogPost,v1/blog/updateBlogPost,isPublished must be one of true false,400,Tue Sep 05 2023 11:35:50 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:35:50 GMT+0530 (India Standard Time)
05-09-2023 11:35:50 error: postBlog,v1/blog/addBlogPost,isPublished must be one of true false,400,Tue Sep 05 2023 11:35:50 GMT+0530 (India Standard Time),Tue Sep 05 2023 11:35:50 GMT+0530 (India Standard Time)
05-09-2023 14:12:58 error: deleteBlogPost,v1/blog/deleteBlogPost/:blogId,delete,404,Tue Sep 05 2023 14:12:58 GMT+0530 (India Standard Time),Tue Sep 05 2023 14:12:58 GMT+0530 (India Standard Time)
05-09-2023 14:13:32 error: deleteBlogPost,v1/blog/deleteBlogPost/:blogId,delete,404,Tue Sep 05 2023 14:13:32 GMT+0530 (India Standard Time),Tue Sep 05 2023 14:13:32 GMT+0530 (India Standard Time)
05-09-2023 14:14:15 error: deleteBlogPost,v1/blog/deleteBlogPost/:blogId,delete,404,Tue Sep 05 2023 14:14:15 GMT+0530 (India Standard Time),Tue Sep 05 2023 14:14:15 GMT+0530 (India Standard Time)
05-09-2023 14:15:44 error: deleteBlogPost,v1/blog/deleteBlogPost/:blogId,delete,404,Tue Sep 05 2023 14:15:44 GMT+0530 (India Standard Time),Tue Sep 05 2023 14:15:44 GMT+0530 (India Standard Time)
05-09-2023 14:16:18 error: deleteBlogPost,v1/blog/deleteBlogPost/:blogId,delete,404,Tue Sep 05 2023 14:16:18 GMT+0530 (India Standard Time),Tue Sep 05 2023 14:16:18 GMT+0530 (India Standard Time)
05-09-2023 14:16:56 error: deleteBlogPost,v1/blog/deleteBlogPost/:blogId,delete,404,Tue Sep 05 2023 14:16:56 GMT+0530 (India Standard Time),Tue Sep 05 2023 14:16:56 GMT+0530 (India Standard Time)
05-09-2023 14:17:34 error: deleteBlogPost,v1/blog/deleteBlogPost/:blogId,delete,404,Tue Sep 05 2023 14:17:34 GMT+0530 (India Standard Time),Tue Sep 05 2023 14:17:34 GMT+0530 (India Standard Time)
05-09-2023 14:59:42 error: deleteTestimony,v1/testimony/deleteTestimony/:id,Testimony Id is required,400,Tue Sep 05 2023 14:59:42 GMT+0530 (India Standard Time),Tue Sep 05 2023 14:59:42 GMT+0530 (India Standard Time)
05-09-2023 15:39:36 error: deleteTestimony,v1/testimony/deleteTestimony/:id,Testimony Id is required,400,Tue Sep 05 2023 15:39:36 GMT+0530 (India Standard Time),Tue Sep 05 2023 15:39:36 GMT+0530 (India Standard Time)
05-09-2023 17:33:04 error: deleteTestimony,v1/testimony/deleteTestimony/:id,id length must be at least 3 characters long,400,Tue Sep 05 2023 17:33:04 GMT+0530 (India Standard Time),Tue Sep 05 2023 17:33:04 GMT+0530 (India Standard Time)
05-09-2023 17:35:48 error: deleteTestimony,v1/testimony/deleteTestimony/:id,id length must be at least 3 characters long,400,Tue Sep 05 2023 17:35:48 GMT+0530 (India Standard Time),Tue Sep 05 2023 17:35:48 GMT+0530 (India Standard Time)
05-09-2023 17:57:29 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 05 2023 17:57:29 GMT+0530 (India Standard Time),Tue Sep 05 2023 17:57:29 GMT+0530 (India Standard Time)
05-09-2023 23:06:39 error: uploadGallery,v1/gallery/uploadGallery,projectId is required,400,Tue Sep 05 2023 23:06:39 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:06:39 GMT+0530 (India Standard Time)
05-09-2023 23:11:46 error: registration,v1/registration/addRegistration,name is not allowed to be empty,400,Tue Sep 05 2023 23:11:46 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:11:46 GMT+0530 (India Standard Time)
05-09-2023 23:12:09 error: registration,v1/registration/addRegistration,projectName is not allowed to be empty,400,Tue Sep 05 2023 23:12:09 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:12:09 GMT+0530 (India Standard Time)
05-09-2023 23:14:52 error: registration,v1/registration/addRegistration,Email Id Already Exists,404,Tue Sep 05 2023 23:14:52 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:14:52 GMT+0530 (India Standard Time)
05-09-2023 23:14:56 error: registration,v1/registration/addRegistration,Email Id Already Exists,404,Tue Sep 05 2023 23:14:56 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:14:56 GMT+0530 (India Standard Time)
05-09-2023 23:20:25 error: contact,v1/contact/addContact,Name cannot be empty,400,Tue Sep 05 2023 23:20:25 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:20:25 GMT+0530 (India Standard Time)
05-09-2023 23:23:28 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 05 2023 23:23:28 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:23:28 GMT+0530 (India Standard Time)
05-09-2023 23:27:34 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 05 2023 23:27:34 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:27:34 GMT+0530 (India Standard Time)
05-09-2023 23:28:02 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 05 2023 23:28:02 GMT+0530 (India Standard Time),Tue Sep 05 2023 23:28:02 GMT+0530 (India Standard Time)
