13-09-2023 10:51:45 error: login,v1/admin/login,Successfully Logged-In,200,Wed Sep 13 2023 10:51:45 GMT+0530 (India Standard Time),Wed Sep 13 2023 10:51:45 GMT+0530 (India Standard Time)
13-09-2023 15:19:23 error: updateProject,v1/project/updateProject,File size 7 MB exceeds the limit: 1 MB for file Global Sanskriti Brouchure.pdf,400,Wed Sep 13 2023 15:19:23 GMT+0530 (India Standard Time),Wed Sep 13 2023 15:19:23 GMT+0530 (India Standard Time)
13-09-2023 15:20:27 error: updateProject,v1/project/updateProject,File size 7 MB exceeds the limit: 1 MB for file Global Sanskriti Brouchure.pdf,400,Wed Sep 13 2023 15:20:27 GMT+0530 (India Standard Time),Wed Sep 13 2023 15:20:27 GMT+0530 (India Standard Time)
13-09-2023 15:28:01 error: updateProject,v1/project/updateProject,area with value 0 fails to match the required pattern 1909,400,Wed Sep 13 2023 15:28:01 GMT+0530 (India Standard Time),Wed Sep 13 2023 15:28:01 GMT+0530 (India Standard Time)
13-09-2023 15:29:25 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Sep 13 2023 15:29:25 GMT+0530 (India Standard Time),Wed Sep 13 2023 15:29:25 GMT+0530 (India Standard Time)
13-09-2023 15:39:54 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Sep 13 2023 15:39:54 GMT+0530 (India Standard Time),Wed Sep 13 2023 15:39:54 GMT+0530 (India Standard Time)
13-09-2023 15:59:28 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Sep 13 2023 15:59:28 GMT+0530 (India Standard Time),Wed Sep 13 2023 15:59:28 GMT+0530 (India Standard Time)
13-09-2023 15:59:48 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Sep 13 2023 15:59:48 GMT+0530 (India Standard Time),Wed Sep 13 2023 15:59:48 GMT+0530 (India Standard Time)
13-09-2023 16:06:53 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Sep 13 2023 16:06:53 GMT+0530 (India Standard Time),Wed Sep 13 2023 16:06:53 GMT+0530 (India Standard Time)
13-09-2023 16:07:29 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Sep 13 2023 16:07:29 GMT+0530 (India Standard Time),Wed Sep 13 2023 16:07:29 GMT+0530 (India Standard Time)
13-09-2023 16:07:32 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Sep 13 2023 16:07:32 GMT+0530 (India Standard Time),Wed Sep 13 2023 16:07:32 GMT+0530 (India Standard Time)
13-09-2023 16:09:20 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Sep 13 2023 16:09:20 GMT+0530 (India Standard Time),Wed Sep 13 2023 16:09:20 GMT+0530 (India Standard Time)
