30-08-2023 10:26:54 error: login,v1/admin/login,Successfully Logged-In,200,Wed Aug 30 2023 10:26:54 GMT+0530 (India Standard Time),Wed Aug 30 2023 10:26:54 GMT+0530 (India Standard Time)
30-08-2023 11:13:24 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Aug 30 2023 11:13:24 GMT+0530 (India Standard Time),Wed Aug 30 2023 11:13:24 GMT+0530 (India Standard Time)
30-08-2023 11:14:52 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Aug 30 2023 11:14:52 GMT+0530 (India Standard Time),Wed Aug 30 2023 11:14:52 GMT+0530 (India Standard Time)
30-08-2023 11:15:39 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Aug 30 2023 11:15:39 GMT+0530 (India Standard Time),Wed Aug 30 2023 11:15:39 GMT+0530 (India Standard Time)
30-08-2023 11:41:57 error: contact,v1/contact/addContact,Name cannot be empty,400,Wed Aug 30 2023 11:41:57 GMT+0530 (India Standard Time),Wed Aug 30 2023 11:41:57 GMT+0530 (India Standard Time)
30-08-2023 11:42:33 error: contact,v1/contact/addContact,Name cannot be empty,400,Wed Aug 30 2023 11:42:33 GMT+0530 (India Standard Time),Wed Aug 30 2023 11:42:33 GMT+0530 (India Standard Time)
30-08-2023 11:45:12 error: contact,v1/contact/addContact,Name cannot be empty,400,Wed Aug 30 2023 11:45:12 GMT+0530 (India Standard Time),Wed Aug 30 2023 11:45:12 GMT+0530 (India Standard Time)
30-08-2023 14:28:27 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Wed Aug 30 2023 14:28:27 GMT+0530 (India Standard Time),Wed Aug 30 2023 14:28:27 GMT+0530 (India Standard Time)
30-08-2023 21:30:09 error: postBlog,v1/blog/addBlogPost,isPublished must be one of true false,400,Wed Aug 30 2023 21:30:09 GMT+0530 (India Standard Time),Wed Aug 30 2023 21:30:09 GMT+0530 (India Standard Time)
30-08-2023 21:30:09 error: updateBlogPost,v1/blog/updateBlogPost,postId is required,400,Wed Aug 30 2023 21:30:09 GMT+0530 (India Standard Time),Wed Aug 30 2023 21:30:09 GMT+0530 (India Standard Time)
30-08-2023 22:00:58 error: postBlog,v1/blog/addBlogPost,title is not allowed to be empty,400,Wed Aug 30 2023 22:00:58 GMT+0530 (India Standard Time),Wed Aug 30 2023 22:00:58 GMT+0530 (India Standard Time)
30-08-2023 22:01:26 error: postBlog,v1/blog/addBlogPost,title is not allowed to be empty,400,Wed Aug 30 2023 22:01:26 GMT+0530 (India Standard Time),Wed Aug 30 2023 22:01:26 GMT+0530 (India Standard Time)
30-08-2023 22:02:31 error: postBlog,v1/blog/addBlogPost,title is not allowed to be empty,400,Wed Aug 30 2023 22:02:31 GMT+0530 (India Standard Time),Wed Aug 30 2023 22:02:31 GMT+0530 (India Standard Time)
30-08-2023 22:02:40 error: postBlog,v1/blog/addBlogPost,title is not allowed to be empty,400,Wed Aug 30 2023 22:02:40 GMT+0530 (India Standard Time),Wed Aug 30 2023 22:02:40 GMT+0530 (India Standard Time)
30-08-2023 22:04:24 error: postBlog,v1/blog/addBlogPost,  Blog Title cannot be empty,400,Wed Aug 30 2023 22:04:24 GMT+0530 (India Standard Time),Wed Aug 30 2023 22:04:24 GMT+0530 (India Standard Time)
